,vendor,merchant,date,n_lines
69,A,1593,2017-03-14,18
70,A,1593,2017-03-15,65
71,A,1593,2017-03-16,24
72,A,1593,2017-03-17,479
73,A,1593,2017-03-18,555
74,A,1593,2017-03-19,48
75,A,1593,2017-03-20,33
76,A,1593,2017-03-21,16
77,A,1593,2017-03-22,49
78,A,1593,2017-03-23,52
79,A,1593,2017-03-24,208
80,A,1593,2017-03-25,186
81,A,1593,2017-03-26,24
82,A,1593,2017-03-27,41
83,A,1593,2017-03-28,62
84,A,1593,2017-03-29,59
85,A,1593,2017-03-30,25
86,A,1593,2017-03-31,130
87,A,1593,2017-04-01,137
88,A,1593,2017-04-02,3
89,A,1593,2017-04-03,47
90,A,1593,2017-04-04,21
91,A,1593,2017-04-05,50
92,A,1593,2017-04-06,25
93,A,1593,2017-04-07,140
94,A,1593,2017-04-08,138
95,A,1593,2017-04-09,71
96,A,1593,2017-04-10,31
97,A,1593,2017-04-11,53
98,A,1593,2017-04-12,37
99,A,1593,2017-04-13,147
100,A,1593,2017-04-14,105
101,A,1593,2017-04-15,282
102,A,1593,2017-04-16,14
103,A,1593,2017-04-17,31
104,A,1593,2017-04-18,18
105,A,1593,2017-04-19,45
106,A,1593,2017-04-20,26
107,A,1593,2017-04-21,125
108,A,1593,2017-04-22,239
109,A,1593,2017-04-23,15
110,A,1593,2017-04-24,20
111,A,1593,2017-04-25,23
112,A,1593,2017-04-26,81
113,A,1593,2017-04-27,21
114,A,1593,2017-04-28,227
115,A,1593,2017-04-29,201
116,A,1593,2017-04-30,5
117,A,1593,2017-05-02,14
118,A,1593,2017-05-03,17
119,A,1593,2017-05-04,21
120,A,1593,2017-05-05,183
121,A,1593,2017-05-06,201
122,A,1593,2017-05-07,8
123,A,1593,2017-05-09,14
124,A,1593,2017-05-10,32
125,A,1593,2017-05-11,134
126,A,1593,2017-05-12,136
127,A,1593,2017-05-13,205
128,A,1593,2017-05-14,6
129,A,1593,2017-05-15,29
130,A,1593,2017-05-16,38
131,A,1593,2017-05-17,27
132,A,1593,2017-05-18,27
133,A,1593,2017-05-19,176
134,A,1593,2017-05-20,147
135,A,1593,2017-05-22,14
136,A,1593,2017-05-23,46
137,A,1593,2017-05-25,92
138,A,1593,2017-05-26,156
139,A,1593,2017-05-27,121
140,A,1593,2017-05-28,14
141,A,1593,2017-05-29,21
142,A,1593,2017-05-30,22
143,A,1593,2017-05-31,93
144,A,1593,2017-06-02,137
145,A,1593,2017-06-03,212
146,A,1593,2017-06-04,77
147,A,1593,2017-06-05,26
148,A,1593,2017-06-06,23
149,A,1593,2017-06-07,78
150,A,1593,2017-06-08,32
151,A,1593,2017-06-09,120
152,A,1593,2017-06-10,83
153,A,1593,2017-06-11,2
154,A,1593,2017-06-12,22
155,A,1593,2017-06-13,56
156,A,1593,2017-06-14,75
157,A,1593,2017-06-15,73
158,A,1593,2017-06-16,108
159,A,1593,2017-06-17,30
160,A,1593,2017-06-19,21
161,A,1593,2017-06-20,46
162,A,1593,2017-06-21,26
163,A,1593,2017-06-22,49
164,A,1593,2017-06-23,81
165,A,1593,2017-06-24,24
166,A,1593,2017-06-26,29
167,A,1593,2017-06-27,33
168,A,1593,2017-06-28,37
169,A,1593,2017-06-30,114
170,A,1593,2017-07-01,98
171,A,1593,2017-07-02,18
172,A,1593,2017-07-03,34
173,A,1593,2017-07-04,83
174,A,1593,2017-07-05,62
175,A,1593,2017-07-06,22
176,A,1593,2017-07-07,194
177,A,1593,2017-07-08,74
178,A,1593,2017-07-10,38
179,A,1593,2017-07-11,106
180,A,1593,2017-07-12,37
181,A,1593,2017-07-13,49
182,A,1593,2017-07-14,174
183,A,1593,2017-07-15,54
184,A,1593,2017-07-17,19
185,A,1593,2017-07-18,18
186,A,1593,2017-07-19,52
187,A,1593,2017-07-20,40
188,A,1593,2017-07-21,235
189,A,1593,2017-07-22,123
190,A,1593,2017-07-23,4
191,A,1593,2017-07-24,30
192,A,1593,2017-07-25,11
193,A,1593,2017-07-26,72
194,A,1593,2017-07-27,33
195,A,1593,2017-07-28,144
196,A,1593,2017-07-29,62
197,A,1593,2017-07-31,28
198,A,1593,2017-08-01,40
199,A,1593,2017-08-02,24
200,A,1593,2017-08-03,49
201,A,1593,2017-08-04,137
202,A,1593,2017-08-05,141
203,A,1593,2017-08-07,52
204,A,1593,2017-08-08,63
205,A,1593,2017-08-09,79
206,A,1593,2017-08-10,109
207,A,1593,2017-08-11,129
208,A,1593,2017-08-12,157
209,A,1593,2017-08-13,3
210,A,1593,2017-08-14,89
211,A,1593,2017-08-15,26
212,A,1593,2017-08-16,63
213,A,1593,2017-08-17,38
214,A,1593,2017-08-18,85
215,A,1593,2017-08-19,106
216,A,1593,2017-08-20,7
217,A,1593,2017-08-21,25
218,A,1593,2017-08-22,35
219,A,1593,2017-08-23,64
220,A,1593,2017-08-24,56
221,A,1593,2017-08-25,64
222,A,1593,2017-08-26,85
223,A,1593,2017-08-28,10
224,A,1593,2017-08-29,22
225,A,1593,2017-08-30,45
226,A,1593,2017-08-31,73
227,A,1593,2017-09-01,113
228,A,1593,2017-09-02,244
229,A,1593,2017-09-03,4
230,A,1593,2017-09-05,33
231,A,1593,2017-09-06,21
232,A,1593,2017-09-07,82
233,A,1593,2017-09-08,170
234,A,1593,2017-09-09,150
235,A,1593,2017-09-10,3
236,A,1593,2017-09-11,42
237,A,1593,2017-09-12,29
238,A,1593,2017-09-13,43
239,A,1593,2017-09-14,53
240,A,1593,2017-09-15,168
241,A,1593,2017-09-16,190
242,A,1593,2017-09-17,3
243,A,1593,2017-09-18,57
244,A,1593,2017-09-19,81
245,A,1593,2017-09-20,40
246,A,1593,2017-09-21,107
247,A,1593,2017-09-22,122
248,A,1593,2017-09-23,165
249,A,1593,2017-09-24,10
250,A,1593,2017-09-25,17
251,A,1593,2017-09-26,39
252,A,1593,2017-09-27,31
253,A,1593,2017-09-28,45
254,A,1593,2017-09-29,132
255,A,1593,2017-11-13,26
256,A,1593,2017-11-14,56
257,A,1593,2017-11-15,74
258,A,1593,2017-11-16,32
259,A,1593,2017-11-17,178
260,A,1593,2017-11-18,243
261,A,1593,2017-11-19,41
262,A,1593,2017-11-20,56
263,A,1593,2017-11-21,34
264,A,1593,2017-11-22,14
265,A,1593,2017-11-23,27
266,A,1593,2017-11-24,177
267,A,1593,2017-11-25,190
268,A,1593,2017-11-26,26
269,A,1593,2017-11-27,97
270,A,1593,2017-11-28,58
271,A,1593,2017-11-29,39
272,A,1593,2017-11-30,62
273,A,1593,2017-12-01,147
274,A,1593,2017-12-02,195
275,A,1593,2017-12-03,63
276,A,1593,2017-12-04,118
277,A,1593,2017-12-05,41
278,A,1593,2017-12-06,65
279,A,1593,2017-12-07,42
280,A,1593,2017-12-08,140
281,A,1593,2017-12-09,160
282,A,1593,2017-12-10,39
283,A,1593,2017-12-11,44
284,A,1593,2017-12-12,31
285,A,1593,2017-12-13,66
286,A,1593,2017-12-14,52
287,A,1593,2017-12-15,130
288,A,1593,2017-12-16,215
289,A,1593,2017-12-17,63
290,A,1593,2017-12-18,42
291,A,1593,2017-12-19,91
292,A,1593,2017-12-20,93
293,A,1593,2017-12-21,147
294,A,1593,2017-12-22,227
295,A,1593,2017-12-23,186
296,A,1593,2017-12-24,507
297,A,1593,2017-12-25,187
298,A,1593,2017-12-26,198
299,A,1593,2017-12-27,212
300,A,1593,2017-12-28,260
301,A,1593,2017-12-29,334
302,A,1593,2017-12-30,259
303,A,1593,2017-12-31,143
304,A,1593,2018-01-05,191
305,A,1593,2018-01-06,233
306,A,1593,2018-01-07,107
307,A,2707,2018-01-19,193
308,A,2707,2018-01-20,113
309,A,2707,2018-01-21,37
310,A,2707,2018-01-22,23
311,A,2707,2018-01-23,29
312,A,2707,2018-01-24,31
313,A,2707,2018-01-25,23
314,A,2707,2018-01-26,150
315,A,2707,2018-01-27,131
316,A,2707,2018-01-28,30
317,A,2707,2018-01-29,8
318,A,2707,2018-01-30,10
319,A,2707,2018-01-31,122
320,A,2707,2018-02-01,88
321,A,2707,2018-02-02,109
322,A,2707,2018-02-03,169
323,A,2707,2018-02-04,13
324,A,2707,2018-02-05,36
325,A,2707,2018-02-06,26
326,A,2707,2018-02-07,39
327,A,2707,2018-02-08,25
328,A,2707,2018-02-09,122
329,A,2707,2018-02-10,156
330,A,2707,2018-02-11,66
331,A,2707,2018-02-12,32
332,A,2707,2018-02-13,25
333,A,2707,2018-02-14,69
334,A,2707,2018-02-15,52
335,A,2707,2018-02-16,98
336,A,2707,2018-02-17,155
337,A,2707,2018-02-18,49
338,A,2707,2018-02-19,29
339,A,2707,2018-02-20,26
340,A,2707,2018-02-21,10
341,A,2707,2018-02-22,17
342,A,2707,2018-02-23,139
343,A,2707,2018-02-24,103
344,A,2707,2018-02-25,29
345,A,2707,2018-02-26,29
346,A,2707,2018-02-27,17
347,A,2707,2018-02-28,24
348,A,2707,2018-03-01,47
349,A,2707,2018-03-02,122
350,A,2707,2018-03-03,140
351,A,2707,2018-03-04,21
352,A,2707,2018-03-05,16
353,A,2707,2018-03-06,32
354,A,2707,2018-03-07,10
355,A,2707,2018-03-08,10
356,A,2707,2018-03-09,137
357,A,2707,2018-03-10,95
358,A,2707,2018-03-11,33
359,A,2707,2018-03-12,27
360,A,2707,2018-03-13,20
361,A,2707,2018-03-14,19
362,A,2707,2018-03-15,10
363,A,2707,2018-03-16,108
364,A,2707,2018-03-17,137
365,A,2707,2018-03-18,18
366,A,2707,2018-03-19,12
367,A,2707,2018-03-20,27
368,A,2707,2018-03-21,35
369,A,2707,2018-03-22,30
370,A,2707,2018-03-23,94
371,A,2707,2018-03-24,190
372,A,2707,2018-03-25,27
373,A,2707,2018-03-26,24
374,A,2707,2018-03-27,53
375,A,2707,2018-03-28,22
376,A,2707,2018-03-29,138
377,A,2707,2018-03-30,140
378,A,2707,2018-03-31,125
379,A,2707,2018-04-01,110
380,A,2707,2018-04-02,31
381,A,2707,2018-04-03,31
382,A,2707,2018-04-04,28
383,A,2707,2018-04-05,12
384,A,2707,2018-04-06,102
385,A,2707,2018-04-07,124
386,A,2707,2018-04-08,5
387,A,2707,2018-04-09,5
388,A,2707,2018-04-10,23
389,A,2707,2018-04-11,14
390,A,2707,2018-04-12,21
391,A,2707,2018-04-13,107
392,A,2707,2018-04-14,59
393,A,2707,2018-04-15,19
394,A,2707,2018-04-16,11
395,A,2707,2018-04-17,48
396,A,2707,2018-04-18,12
397,A,2707,2018-04-19,1
398,A,2707,2018-04-20,85
399,A,2707,2018-04-21,136
400,A,2707,2018-04-22,31
401,A,2707,2018-04-23,38
402,A,2707,2018-04-24,31
403,A,2707,2018-04-25,38
404,A,2707,2018-04-26,39
405,A,2707,2018-04-27,173
406,A,2707,2018-04-28,100
407,A,2707,2018-04-29,58
408,A,2707,2018-04-30,82
409,A,2707,2018-05-01,31
410,A,2707,2018-05-02,9
411,A,2707,2018-05-03,38
412,A,2707,2018-05-04,95
413,A,2707,2018-05-05,85
414,A,2707,2018-05-06,19
415,A,2707,2018-05-07,24
416,A,2707,2018-05-08,20
417,A,2707,2018-05-09,88
418,A,2707,2018-05-10,52
419,A,2707,2018-05-11,99
420,A,2707,2018-05-12,89
421,A,2707,2018-05-13,19
422,A,2707,2018-05-14,26
423,A,2707,2018-05-15,34
424,A,2707,2018-05-16,46
425,A,2707,2018-05-17,37
426,A,2707,2018-05-18,102
427,A,2707,2018-05-19,88
428,A,2707,2018-05-20,52
429,A,2707,2018-05-21,20
430,A,2707,2018-05-22,16
431,A,2707,2018-05-23,12
432,A,2707,2018-05-24,32
433,A,2707,2018-05-25,43
434,A,2707,2018-05-26,90
435,A,2707,2018-05-27,25
436,A,2707,2018-05-28,11
437,A,2707,2018-05-29,27
438,A,2707,2018-05-30,21
439,A,2707,2018-05-31,38
440,A,2707,2018-06-01,85
441,A,2707,2018-06-02,100
442,A,2707,2018-06-03,28
443,A,2707,2018-06-04,30
444,A,2707,2018-06-05,34
445,A,2707,2018-06-06,30
446,A,2707,2018-06-07,37
447,A,2707,2018-06-08,99
448,A,2707,2018-06-09,82
449,A,2707,2018-06-10,25
450,A,2707,2018-06-11,18
451,A,2707,2018-06-12,8
452,A,2707,2018-06-13,27
453,A,2707,2018-06-14,15
454,A,2707,2018-06-15,105
455,A,2707,2018-06-16,74
456,A,2707,2018-06-17,57
457,A,2707,2018-06-18,31
458,A,2707,2018-06-19,24
459,A,2707,2018-06-20,26
460,A,2707,2018-06-21,25
461,A,2707,2018-06-22,151
462,A,2707,2018-06-23,81
463,A,2707,2018-06-24,21
464,A,2707,2018-06-25,46
465,A,2707,2018-06-26,32
466,A,2707,2018-06-27,55
467,A,2707,2018-06-28,21
468,A,2707,2018-06-29,119
469,A,2707,2018-06-30,93
470,A,2707,2018-07-01,19
471,A,2707,2018-07-02,20
472,A,2707,2018-07-03,13
473,A,2707,2018-07-04,19
474,A,2707,2018-07-05,34
475,A,2707,2018-07-06,63
476,A,2707,2018-07-07,47
477,A,2707,2018-07-08,11
478,A,2707,2018-07-09,20
479,A,2707,2018-07-10,33
480,A,2707,2018-07-11,32
481,A,2707,2018-07-12,20
482,A,2707,2018-07-13,103
483,A,2707,2018-07-14,87
484,A,2707,2018-07-15,30
485,A,2707,2018-07-16,11
486,A,2707,2018-07-17,16
487,A,2707,2018-07-18,29
488,A,2707,2018-07-19,32
489,A,2707,2018-07-20,99
490,A,2707,2018-07-21,83
491,A,2707,2018-07-22,38
492,A,2707,2018-07-23,20
493,A,2707,2018-07-24,27
494,A,2707,2018-07-25,21
495,A,2707,2018-07-26,22
496,A,2707,2018-07-27,52
497,A,2707,2018-07-28,140
498,A,2707,2018-07-29,21
499,A,2707,2018-07-30,35
500,A,2707,2018-07-31,16
501,A,2707,2018-08-01,37
502,A,2707,2018-08-02,17
503,A,2707,2018-08-03,94
504,A,2707,2018-08-04,52
505,A,2707,2018-08-05,37
506,A,2707,2018-08-06,32
507,A,2707,2018-08-07,14
508,A,2707,2018-08-08,31
509,A,2707,2018-08-09,30
510,A,2707,2018-08-10,72
511,A,2707,2018-08-11,90
512,A,2707,2018-08-12,9
513,A,2707,2018-08-13,18
514,A,2707,2018-08-14,12
515,A,2707,2018-08-15,18
516,A,2707,2018-08-16,18
517,A,2707,2018-08-17,67
518,A,2707,2018-08-18,68
519,A,2707,2018-08-19,29
520,A,2707,2018-08-20,30
521,A,2707,2018-08-21,33
522,A,2707,2018-08-22,41
523,A,2707,2018-08-23,16
524,A,2707,2018-08-24,130
525,A,2707,2018-08-25,63
526,A,2707,2018-08-26,16
527,A,2707,2018-08-27,12
528,A,2707,2018-08-28,25
529,A,2707,2018-08-29,29
530,A,2707,2018-08-30,47
531,A,2707,2018-08-31,165
532,A,2707,2018-09-01,104
533,A,2707,2018-09-02,21
534,A,2707,2018-09-03,8
535,A,2707,2018-09-04,13
536,A,2707,2018-09-05,25
537,A,2707,2018-09-06,13
538,A,2707,2018-09-07,126
539,A,2707,2018-09-08,115
540,A,2707,2018-09-09,18
541,A,2707,2018-09-10,30
542,A,2707,2018-09-11,15
543,A,2707,2018-09-12,26
544,A,2707,2018-09-13,16
545,A,2707,2018-09-14,102
546,A,2707,2018-09-15,124
547,A,2707,2018-09-16,19
548,A,2707,2018-09-17,25
549,A,2707,2018-09-18,13
550,A,2707,2018-09-19,30
551,A,2707,2018-09-20,17
552,A,2707,2018-09-21,201
553,A,2707,2018-09-22,58
554,A,2707,2018-09-23,14
555,A,2707,2018-09-24,6
556,A,2707,2018-09-25,11
557,A,2707,2018-09-26,29
558,A,2707,2018-09-27,29
559,A,2707,2018-09-28,101
560,A,2707,2018-09-29,74
561,A,2707,2018-09-30,12
562,A,2707,2018-10-01,39
563,A,2707,2018-10-02,100
564,A,2707,2018-10-03,33
565,A,2707,2018-10-04,34
566,A,2707,2018-10-05,123
567,A,2707,2018-10-06,107
568,A,2707,2018-10-07,19
569,A,2707,2018-10-08,49
570,A,2707,2018-10-09,30
571,A,2707,2018-10-10,32
572,A,2707,2018-10-11,51
573,A,2707,2018-10-12,136
574,A,2707,2018-10-13,62
575,A,2707,2018-10-14,23
576,A,2707,2018-10-15,12
577,A,2707,2018-10-16,21
578,A,2707,2018-10-17,33
579,A,2707,2018-10-18,25
580,A,2707,2018-10-19,98
581,A,2707,2018-10-20,94
582,A,2707,2018-10-21,9
583,A,2707,2018-10-22,17
584,A,2707,2018-10-23,9
585,A,2707,2018-10-24,5
586,A,2707,2018-10-25,20
587,A,2707,2018-10-26,98
588,A,2707,2018-10-27,91
589,A,2707,2018-10-28,16
590,A,2707,2018-10-29,12
591,A,2707,2018-10-30,65
592,A,2707,2018-10-31,37
593,A,2707,2018-11-01,41
594,A,2707,2018-11-02,167
595,A,2707,2018-11-03,159
596,A,2707,2018-11-04,18
597,A,2707,2018-11-05,22
598,A,2707,2018-11-06,6
599,A,2707,2018-11-07,32
600,A,2707,2018-11-08,23
601,A,2707,2018-11-09,139
602,A,2707,2018-11-10,90
603,A,2707,2018-11-11,37
604,A,2707,2018-11-12,16
605,A,2707,2018-11-13,28
606,A,2707,2018-11-14,24
607,A,2707,2018-11-15,10
608,A,2707,2018-11-16,106
609,A,2707,2018-11-17,152
610,A,2707,2018-11-18,34
611,A,2707,2018-11-19,18
612,A,2707,2018-11-20,20
613,A,2707,2018-11-21,11
614,A,2707,2018-11-22,18
615,A,2707,2018-11-23,76
616,A,2707,2018-11-24,129
617,A,2707,2018-11-25,12
618,A,2707,2018-11-26,3
619,A,2707,2018-11-27,12
620,A,2707,2018-11-28,20
621,A,2707,2018-11-29,30
622,A,2707,2018-11-30,132
623,A,2707,2018-12-01,107
624,A,2707,2018-12-02,45
625,A,2707,2018-12-03,18
626,A,2707,2018-12-04,24
627,A,2707,2018-12-05,29
628,A,2707,2018-12-06,28
629,A,2707,2018-12-07,130
630,A,2707,2018-12-08,212
631,A,2707,2018-12-09,35
632,A,2707,2018-12-10,16
633,A,2707,2018-12-11,7
634,A,2707,2018-12-12,23
635,A,2707,2018-12-13,12
636,A,2707,2018-12-14,128
637,A,2707,2018-12-15,141
638,A,2707,2018-12-16,2
639,A,2707,2018-12-17,7
640,A,2707,2018-12-18,13
641,A,2707,2018-12-19,8
642,A,2707,2018-12-20,12
643,A,2707,2018-12-21,93
644,A,2707,2018-12-22,165
645,A,2707,2018-12-23,40
646,A,2707,2018-12-24,49
647,A,2707,2018-12-25,97
648,A,2707,2018-12-26,114
649,A,2707,2018-12-27,89
650,A,2707,2018-12-28,101
651,A,2707,2018-12-29,107
652,A,2707,2018-12-30,47
653,A,2707,2018-12-31,2
654,A,2707,2019-01-02,46
655,A,2707,2019-01-03,41
656,A,2707,2019-01-04,133
657,A,2707,2019-01-05,111
658,A,2707,2019-01-06,30
659,A,2707,2019-01-07,9
660,A,2707,2019-01-08,14
661,A,2707,2019-01-09,27
662,A,2707,2019-01-10,14
663,A,2707,2019-01-11,89
664,A,2707,2019-01-12,129
665,A,2707,2019-01-13,18
666,A,2707,2019-01-14,19
667,A,2707,2019-01-15,8
668,A,2707,2019-01-16,26
669,A,2707,2019-01-17,36
670,A,2707,2019-01-18,89
671,A,2707,2019-01-19,103
672,A,2707,2019-01-20,49
673,A,2707,2019-01-21,20
674,A,2707,2019-01-22,4
675,A,2707,2019-01-23,34
676,A,2707,2019-01-24,11
677,A,2707,2019-01-25,103
678,A,2707,2019-01-26,105
679,A,2707,2019-01-27,25
680,A,2707,2019-01-28,5
681,A,2707,2019-01-29,12
682,A,2707,2019-01-30,18
683,A,2707,2019-01-31,56
684,A,2707,2019-02-01,129
685,A,2707,2019-02-02,111
686,A,2707,2019-02-03,43
687,A,2707,2019-02-04,4
688,A,2707,2019-02-05,19
689,A,2707,2019-02-06,20
690,A,2707,2019-02-07,23
691,A,2707,2019-02-08,147
692,A,2707,2019-02-09,143
693,A,2707,2019-02-10,44
694,A,2707,2019-02-11,11
695,A,2707,2019-02-12,13
696,A,2707,2019-02-13,7
697,A,2707,2019-02-14,13
698,A,2707,2019-02-15,121
699,A,2707,2019-02-16,144
700,A,2707,2019-02-17,49
701,A,2707,2019-02-18,7
702,A,2707,2019-02-19,11
703,A,2707,2019-02-20,23
704,A,2707,2019-02-21,17
705,A,2707,2019-02-22,126
706,A,2707,2019-02-23,86
707,A,2707,2019-02-24,6
708,A,2707,2019-02-25,25
709,A,2707,2019-02-26,17
710,A,2707,2019-02-27,20
711,A,2707,2019-02-28,40
712,A,2707,2019-03-01,137
713,A,2707,2019-03-02,190
714,A,2707,2019-03-03,26
715,A,2707,2019-03-04,39
716,A,2707,2019-03-05,37
717,A,2707,2019-03-06,29
718,A,2707,2019-03-07,36
719,A,2707,2019-03-08,191
720,A,2707,2019-03-09,136
721,A,2707,2019-03-10,17
722,A,2707,2019-03-11,4
723,A,2707,2019-03-12,15
724,A,2707,2019-03-13,23
725,A,2707,2019-03-14,11
726,A,2707,2019-03-15,131
727,A,2707,2019-03-16,113
728,A,2707,2019-03-17,28
729,A,2707,2019-03-18,15
730,A,2707,2019-03-19,36
731,A,2707,2019-03-20,39
732,A,2707,2019-03-21,16
733,A,2707,2019-03-22,100
734,A,2707,2019-03-23,116
735,A,2707,2019-03-24,20
736,A,2707,2019-03-25,6
737,A,2707,2019-03-26,8
738,A,2707,2019-03-27,19
739,A,2707,2019-03-28,26
740,A,2707,2019-03-29,178
741,A,2707,2019-03-30,150
742,A,2707,2019-03-31,17
743,A,2707,2019-04-01,18
744,A,2707,2019-04-02,9
745,A,2707,2019-04-03,19
746,A,2707,2019-04-04,21
747,A,2707,2019-04-05,47
748,A,3280,2017-01-03,67
749,A,3280,2017-01-04,64
750,A,3280,2017-01-05,83
751,A,3280,2017-01-07,100
752,A,3280,2017-01-09,22
753,A,3280,2017-01-10,76
754,A,3280,2017-01-11,44
755,A,3280,2017-01-12,77
756,A,3280,2017-01-13,74
757,A,3280,2017-01-14,52
758,A,3280,2017-01-15,16
759,A,3280,2017-01-16,28
760,A,3280,2017-01-17,39
761,A,3280,2017-01-18,72
762,A,3280,2017-01-19,99
763,A,3280,2017-01-20,100
764,A,3280,2017-01-21,71
765,A,3280,2017-01-23,124
766,A,3280,2017-01-24,112
767,A,3280,2017-01-25,65
768,A,3280,2017-01-26,63
769,A,3280,2017-01-27,70
770,A,3280,2017-01-28,87
771,A,3280,2017-01-30,70
772,A,3280,2017-01-31,36
773,A,3280,2017-02-01,7
774,A,3280,2017-02-02,77
775,A,3280,2017-02-03,111
776,A,3280,2017-02-04,93
777,A,3280,2017-02-07,46
778,A,3280,2017-02-08,37
779,A,3280,2017-02-09,72
780,A,3280,2017-02-10,79
781,A,3280,2017-02-11,67
782,A,3280,2017-02-13,58
783,A,3280,2017-02-14,72
784,A,3280,2017-02-15,59
785,A,3280,2017-02-16,38
786,A,3280,2017-02-17,84
787,A,3280,2017-02-18,106
788,A,3280,2017-02-20,72
789,A,3280,2017-02-21,34
790,A,3280,2017-02-22,40
791,A,3280,2017-02-23,78
792,A,3280,2017-02-24,83
793,A,3280,2017-02-25,69
794,A,3280,2017-03-06,60
795,A,3280,2017-03-07,55
796,A,3280,2017-03-08,60
797,A,3280,2017-03-09,82
798,A,3280,2017-03-10,70
799,A,3280,2017-03-11,74
800,A,3280,2017-03-13,78
801,A,3280,2017-03-14,40
802,A,3280,2017-03-15,56
803,A,3280,2017-03-16,58
804,A,3280,2017-03-17,119
805,A,3280,2017-03-18,83
806,A,3280,2017-03-20,56
807,A,3280,2017-03-21,38
808,A,3280,2017-03-22,25
809,A,3280,2017-03-23,50
810,A,3280,2017-03-24,54
811,A,3280,2017-03-25,88
812,A,3280,2017-03-28,47
813,A,3280,2017-03-29,28
814,A,3280,2017-03-30,80
815,A,3280,2017-03-31,74
816,A,3280,2017-04-01,75
817,A,3280,2017-04-03,34
818,A,3280,2017-04-04,13
819,A,3280,2017-04-05,21
820,A,3280,2017-04-06,47
821,A,3280,2017-04-07,76
822,A,3280,2017-04-08,96
823,A,3280,2017-04-10,35
824,A,3280,2017-04-11,55
825,A,3280,2017-04-12,79
826,A,3280,2017-04-13,99
827,A,3280,2017-04-15,72
828,A,3280,2017-04-18,54
829,A,3280,2017-04-19,16
830,A,3280,2017-04-20,54
831,A,3280,2017-04-21,95
832,A,3280,2017-04-22,39
833,A,3280,2017-04-24,35
834,A,3280,2017-04-25,8
835,A,3280,2017-04-26,59
836,A,3280,2017-04-27,84
837,A,3280,2017-04-28,87
838,A,3280,2017-04-29,80
839,A,3280,2017-05-02,41
840,A,3280,2017-05-03,66
841,A,3280,2017-05-04,57
842,A,3280,2017-05-05,54
843,A,3280,2017-05-06,33
844,A,3280,2017-05-08,41
845,A,3280,2017-05-09,52
846,A,3280,2017-05-10,57
847,A,3280,2017-05-11,53
848,A,3280,2017-05-12,90
849,A,3280,2017-05-13,133
850,A,3280,2017-05-15,44
851,A,3280,2017-05-16,80
852,A,3280,2017-05-17,63
853,A,3280,2017-05-18,55
854,A,3280,2017-05-19,93
855,A,3280,2017-05-20,65
856,A,3280,2017-05-22,80
857,A,3280,2017-05-23,69
858,A,3280,2017-05-24,51
859,A,3280,2017-05-26,77
860,A,3280,2017-05-27,41
861,A,3280,2017-05-30,33
862,A,3280,2017-05-31,43
863,A,3280,2017-06-01,40
864,A,3280,2017-06-02,88
865,A,3280,2017-06-03,55
866,A,3280,2017-06-06,46
867,A,3280,2017-06-07,34
868,A,3280,2017-06-08,97
869,A,3280,2017-06-09,63
870,A,3280,2017-06-10,76
871,A,3280,2017-06-12,31
872,A,3280,2017-06-13,59
